#Dashing2 Asymmetric pairwise Output
#Dashing2Options: Dashing2Options;k:15;parsebyseq;trimchr;sketchsize:1024;sketchtype:fullsetsketch;Fastx;canon
#Sources	EPI_ISL_402125	EPI_ISL_527036	EPI_ISL_678363	EPI_ISL_639749	EPI_ISL_530237	EPI_ISL_562766	EPI_ISL_562776	EPI_ISL_562858	EPI_ISL_562996	EPI_ISL_563119	EPI_ISL_563202	EPI_ISL_563222	EPI_ISL_563251	EPI_ISL_563348	EPI_ISL_563361	EPI_ISL_563371	EPI_ISL_563394	EPI_ISL_640867	EPI_ISL_563490	EPI_ISL_591852	EPI_ISL_591853	EPI_ISL_591854	EPI_ISL_591856	EPI_ISL_592019	EPI_ISL_592059	EPI_ISL_592064	EPI_ISL_592072	EPI_ISL_640508	EPI_ISL_592205	EPI_ISL_563721	EPI_ISL_592235	EPI_ISL_592285	EPI_ISL_592320	EPI_ISL_592329	EPI_ISL_563853	EPI_ISL_563917	EPI_ISL_592399	EPI_ISL_592430	EPI_ISL_592501	EPI_ISL_592895	EPI_ISL_592908	EPI_ISL_593035	EPI_ISL_593164	EPI_ISL_593182	EPI_ISL_593356	EPI_ISL_593413	EPI_ISL_593419	EPI_ISL_641149	EPI_ISL_640583	EPI_ISL_640777	EPI_ISL_640854	EPI_ISL_641278	EPI_ISL_663553	EPI_ISL_663594	EPI_ISL_663765	EPI_ISL_663776	EPI_ISL_663777	EPI_ISL_663801	EPI_ISL_663808	EPI_ISL_663883	EPI_ISL_663938	EPI_ISL_663941	EPI_ISL_779467	EPI_ISL_779543	EPI_ISL_779546	EPI_ISL_779548	EPI_ISL_779601	EPI_ISL_779603	EPI_ISL_521525	EPI_ISL_521809	EPI_ISL_520955	EPI_ISL_520970	EPI_ISL_520511	EPI_ISL_419757	EPI_ISL_520624	EPI_ISL_519393	EPI_ISL_519418	EPI_ISL_519507	EPI_ISL_519632	EPI_ISL_519636	EPI_ISL_518911	EPI_ISL_518913	EPI_ISL_518914	EPI_ISL_518915	EPI_ISL_518930	EPI_ISL_518967	EPI_ISL_518968	EPI_ISL_519004	EPI_ISL_519185	EPI_ISL_519242	EPI_ISL_519243	EPI_ISL_519244	EPI_ISL_519245	EPI_ISL_519247	EPI_ISL_519321	EPI_ISL_519816	EPI_ISL_518394	EPI_ISL_518431	EPI_ISL_518508	EPI_ISL_518603
EPI_ISL_563202	0.98046875	0.9941406	0.9746094	0.97265625	0.96972656	0.9902344	0.9892578	0.9873047	0.99121094	0.9902344	1	0.99121094	0.99316406	0.9921875	0.9873047	0.98828125	0.9921875	0.99316406	0.9941406	0.9941406	0.9951172	0.99121094	0.98046875	0.98828125	0.9941406	0.98535156	0.9892578	0.9814453	0.9921875	0.9902344	0.984375	0.98535156	0.99316406	0.98046875	0.99121094	0.9902344	0.9921875	0.9941406	0.9453125	0.9921875	0.9785156	0.9794922	0.98828125	0.9873047	0.9921875	0.984375	0.9921875	0.9921875	0.9785156	0.99121094	0.9902344	0.98046875	0.98046875	0.9921875	0.9941406	0.9941406	0.9941406	0.9892578	0.99121094	0.9902344	0.9892578	0.99121094	0.9902344	0.99121094	0.9921875	0.99121094	0.9873047	0.9902344	0.9814453	0.9873047	0.9951172	0.99316406	0.9941406	0.97558594	0.9941406	0.9951172	0.9941406	0.9951172	0.9941406	0.9941406	0.9951172	0.9941406	0.9951172	0.9951172	0.9951172	0.9951172	0.9951172	0.9951172	0.9951172	0.9941406	0.9951172	0.9951172	0.9951172	0.9951172	0.99316406	0.9941406	0.99121094	0.9941406	0.9951172	0.9951172
EPI_ISL_563222	0.98339844	0.9951172	0.97558594	0.97558594	0.97265625	0.99316406	0.9902344	0.9902344	0.9921875	0.99316406	0.99121094	1	0.99609375	0.9951172	0.9941406	0.9951172	0.99902344	0.99609375	0.9970703	0.9970703	0.99609375	1	0.9873047	0.9892578	0.9970703	0.9863281	0.9902344	0.98828125	0.99316406	0.99121094	0.98535156	0.9941406	0.99609375	0.9814453	1	0.99121094	0.99902344	0.9951172	0.94433594	0.99902344	0.98535156	0.9863281	0.9892578	0.9941406	0.99316406	0.99121094	0.99316406	0.99902344	0.98535156	0.9921875	0.99121094	0.9873047	0.9873047	0.9951172	0.9951172	0.9951172	0.9951172	0.9980469	0.9980469	0.9970703	0.99609375	0.9921875	0.99121094	0.9980469	0.99902344	0.9980469	0.9941406	0.9970703	0.9824219	0.9902344	0.99609375	0.99609375	0.9951172	0.9785156	0.9970703	0.99609375	0.9951172	0.99609375	0.9970703	0.9970703	0.99609375	0.9970703	0.99609375	0.99609375	0.99609375	0.99609375	0.99609375	0.99609375	0.99609375	0.9951172	0.99609375	0.99609375	0.99609375	0.99609375	0.9941406	0.9951172	0.9921875	0.9951172	0.99609375	0.99609375
EPI_ISL_563251	0.98535156	0.9970703	0.97753906	0.97753906	0.9746094	0.9970703	0.9941406	0.9941406	0.99609375	0.9970703	0.99316406	0.99609375	1	0.99902344	0.9902344	0.99121094	0.9951172	0.9980469	0.99902344	0.99902344	0.9980469	0.99609375	0.98339844	0.99121094	0.99902344	0.98828125	0.9921875	0.984375	0.9951172	0.9951172	0.9892578	0.9902344	1	0.98535156	0.99609375	0.99316406	0.9951172	0.9970703	0.9482422	0.9951172	0.9814453	0.9824219	0.99121094	0.9902344	0.9951172	0.9873047	0.9970703	0.9951172	0.9814453	0.99609375	0.9951172	0.98339844	0.98339844	0.99902344	0.99902344	0.99902344	0.99902344	0.9941406	0.9941406	0.99316406	0.9921875	0.9941406	0.99316406	0.9941406	0.9951172	0.9941406	0.9902344	0.99316406	0.984375	0.9921875	0.9980469	0.9980469	0.9970703	0.98046875	0.99902344	0.9980469	0.9970703	0.9980469	0.99902344	0.99902344	0.9980469	0.99902344	0.9980469	0.9980469	0.9980469	0.9980469	0.9980469	0.9980469	0.9980469	0.9970703	0.9980469	0.9980469	0.9980469	0.9980469	0.99609375	0.9970703	0.9941406	0.9970703	0.9980469	0.9980469
EPI_ISL_563348	0.984375	0.99609375	0.9765625	0.9765625	0.9736328	0.99609375	0.99316406	0.99316406	0.9951172	0.99609375	0.9921875	0.9951172	0.99902344	1	0.9892578	0.9902344	0.9941406	0.9970703	0.9980469	0.9980469	0.9970703	0.9951172	0.9824219	0.9902344	0.9980469	0.9873047	0.99121094	0.98339844	0.9941406	0.9941406	0.98828125	0.9892578	0.99902344	0.984375	0.9951172	0.9921875	0.9941406	0.99609375	0.9472656	0.9941406	0.98046875	0.9814453	0.9902344	0.9892578	0.9941406	0.9863281	0.99609375	0.9941406	0.98046875	0.9951172	0.9941406	0.9824219	0.9824219	0.9980469	0.9980469	0.9980469	0.9980469	0.99316406	0.99316406	0.9921875	0.99121094	0.99316406	0.9921875	0.99316406	0.9941406	0.99316406	0.9892578	0.9921875	0.98339844	0.99121094	0.9970703	0.9970703	0.99609375	0.9794922	0.9980469	0.9970703	0.99609375	0.9970703	0.9980469	0.9980469	0.9970703	0.9980469	0.9970703	0.9970703	0.9970703	0.9970703	0.9970703	0.9970703	0.9970703	0.99609375	0.9970703	0.9970703	0.9970703	0.9970703	0.9951172	0.99609375	0.99316406	0.99609375	0.9970703	0.9970703
EPI_ISL_563361	0.97753906	0.99121094	0.9716797	0.96972656	0.9667969	0.9873047	0.9863281	0.984375	0.9902344	0.9873047	0.9873047	0.9941406	0.9902344	0.9892578	1	0.99121094	0.9951172	0.9902344	0.99121094	0.99121094	0.9921875	0.9941406	0.98339844	0.98535156	0.99121094	0.9824219	0.9902344	0.984375	0.9892578	0.9873047	0.9873047	0.98828125	0.9902344	0.98339844	0.9941406	0.9873047	0.9951172	0.99121094	0.9433594	0.9951172	0.9873047	0.98828125	0.9892578	0.9902344	0.9892578	0.9873047	0.9892578	0.9951172	0.9873047	0.98828125	0.9873047	0.98535156	0.9892578	0.99121094	0.99121094	0.99121094	0.99121094	0.9921875	0.9941406	0.9970703	0.9921875	0.98828125	0.9873047	0.9941406	0.9951172	0.9941406	0.9902344	0.9970703	0.9765625	0.984375	0.9921875	0.9902344	0.99121094	0.97265625	0.99121094	0.9921875	0.99121094	0.9921875	0.99121094	0.99121094	0.9921875	0.99121094	0.9921875	0.9921875	0.9921875	0.9921875	0.9921875	0.9921875	0.9921875	0.99121094	0.9921875	0.9921875	0.9921875	0.9921875	0.9902344	0.99121094	0.98828125	0.99121094	0.9921875	0.9921875
EPI_ISL_563371	0.9785156	0.9921875	0.97265625	0.9707031	0.96777344	0.9921875	0.9873047	0.98535156	0.9892578	0.9902344	0.98828125	0.9951172	0.99121094	0.9902344	0.99121094	1	0.99609375	0.99121094	0.9921875	0.9921875	0.99316406	0.9951172	0.984375	0.9902344	0.9921875	0.98535156	0.9873047	0.9873047	0.9902344	0.99609375	0.9902344	0.99121094	0.99121094	0.98046875	0.9951172	0.98828125	0.99609375	0.9941406	0.9482422	0.99609375	0.9863281	0.98339844	0.98828125	0.99121094	0.9902344	0.99609375	0.9941406	0.99609375	0.9824219	0.9892578	0.99609375	0.984375	0.984375	0.9902344	0.9921875	0.9921875	0.9921875	0.99316406	0.9951172	0.9941406	0.9970703	0.9970703	0.9902344	0.9951172	0.99609375	0.9951172	0.99902344	0.9941406	0.97753906	0.98535156	0.99316406	0.99121094	0.9921875	0.9736328	0.9921875	0.99316406	0.9921875	0.99316406	0.9921875	0.9921875	0.99316406	0.9921875	0.99316406	0.99316406	0.99316406	0.99316406	0.99316406	0.99316406	0.99316406	0.9941406	0.99316406	0.99316406	0.99316406	0.99316406	0.99121094	0.9921875	0.9892578	0.9941406	0.99316406	0.99316406
EPI_ISL_563394	0.9824219	0.99609375	0.9765625	0.9746094	0.9716797	0.9921875	0.99121094	0.9892578	0.99316406	0.9921875	0.9921875	0.99902344	0.9951172	0.9941406	0.9951172	0.99609375	1	0.9951172	0.99609375	0.99609375	0.9970703	0.99902344	0.98828125	0.9902344	0.99609375	0.9873047	0.99121094	0.9892578	0.9941406	0.9921875	0.9863281	0.99316406	0.9951172	0.9824219	0.99902344	0.9921875	1	0.99609375	0.9453125	1	0.9863281	0.9873047	0.9902344	0.9951172	0.9941406	0.9921875	0.9941406	1	0.9863281	0.99316406	0.9921875	0.98828125	0.98828125	0.9941406	0.99609375	0.99609375	0.99609375	0.9970703	0.99902344	0.9980469	0.9970703	0.99316406	0.9921875	0.99902344	1	0.99902344	0.9951172	0.9980469	0.9814453	0.9892578	0.9970703	0.9951172	0.99609375	0.97753906	0.99609375	0.9970703	0.99609375	0.9970703	0.99609375	0.99609375	0.9970703	0.99609375	0.9970703	0.9970703	0.9970703	0.9970703	0.9970703	0.9970703	0.9970703	0.99609375	0.9970703	0.9970703	0.9970703	0.9970703	0.9951172	0.99609375	0.99316406	0.99609375	0.9970703	0.9970703
EPI_ISL_640867	0.98535156	0.9970703	0.97753906	0.97753906	0.9746094	0.9951172	0.9921875	0.9921875	0.9941406	0.9951172	0.99316406	0.99609375	0.9980469	0.9970703	0.9902344	0.99121094	0.9951172	1	0.99902344	0.99902344	0.9980469	0.99609375	0.98339844	0.99121094	0.99902344	0.98828125	0.9921875	0.984375	0.9951172	0.99316406	0.9873047	0.9902344	0.9980469	0.98339844	0.99609375	0.99316406	0.9951172	0.9970703	0.94628906	0.9951172	0.9814453	0.9824219	0.99121094	0.9902344	0.9951172	0.9873047	0.9951172	0.9951172	0.9814453	0.9941406	0.99316406	0.98339844	0.98339844	0.9970703	0.9970703	0.9970703	0.9970703	0.9941406	0.9941406	0.99316406	0.9921875	0.9941406	0.99316406	0.9941406	0.9951172	0.9941406	0.9902344	0.99316406	0.984375	0.9921875	0.9980469	0.9980469	0.9970703	0.98046875	0.99902344	0.9980469	0.9970703	0.9980469	0.99902344	0.99902344	0.9980469	0.99902344	0.9980469	0.9980469	0.9980469	0.9980469	0.9980469	0.9980469	0.9980469	0.9970703	0.9980469	0.9980469	0.9980469	0.9980469	0.99609375	0.9970703	0.9941406	0.9970703	0.9980469	0.9980469
EPI_ISL_563490	0.9863281	0.9980469	0.9785156	0.9785156	0.97558594	0.99609375	0.99316406	0.99316406	0.9951172	0.99609375	0.9941406	0.9970703	0.99902344	0.9980469	0.99121094	0.9921875	0.99609375	0.99902344	1	1	0.99902344	0.9970703	0.984375	0.9921875	1	0.9892578	0.99316406	0.98535156	0.99609375	0.9941406	0.98828125	0.99121094	0.99902344	0.984375	0.9970703	0.9941406	0.99609375	0.9980469	0.9472656	0.99609375	0.9824219	0.98339844	0.9921875	0.99121094	0.99609375	0.98828125	0.99609375	0.99609375	0.9824219	0.9951172	0.9941406	0.984375	0.984375	0.9980469	0.9980469	0.9980469	0.9980469	0.9951172	0.9951172	0.9941406	0.99316406	0.9951172	0.9941406	0.9951172	0.99609375	0.9951172	0.99121094	0.9941406	0.98535156	0.99316406	0.99902344	0.99902344	0.9980469	0.9814453	1	0.99902344	0.9980469	0.99902344	1	1	0.99902344	1	0.99902344	0.99902344	0.99902344	0.99902344	0.99902344	0.99902344	0.99902344	0.9980469	0.99902344	0.99902344	0.99902344	0.99902344	0.9970703	0.9980469	0.9951172	0.9980469	0.99902344	0.99902344
EPI_ISL_591852	0.9863281	0.9980469	0.9785156	0.9785156	0.97558594	0.99609375	0.99316406	0.99316406	0.9951172	0.99609375	0.9941406	0.9970703	0.99902344	0.9980469	0.99121094	0.9921875	0.99609375	0.99902344	1	1	0.99902344	0.9970703	0.984375	0.9921875	1	0.9892578	0.99316406	0.98535156	0.99609375	0.9941406	0.98828125	0.99121094	0.99902344	0.984375	0.9970703	0.9941406	0.99609375	0.9980469	0.9472656	0.99609375	0.9824219	0.98339844	0.9921875	0.99121094	0.99609375	0.98828125	0.99609375	0.99609375	0.9824219	0.9951172	0.9941406	0.984375	0.984375	0.9980469	0.9980469	0.9980469	0.9980469	0.9951172	0.9951172	0.9941406	0.99316406	0.9951172	0.9941406	0.9951172	0.99609375	0.9951172	0.99121094	0.9941406	0.98535156	0.99316406	0.99902344	0.99902344	0.9980469	0.9814453	1	0.99902344	0.9980469	0.99902344	1	1	0.99902344	1	0.99902344	0.99902344	0.99902344	0.99902344	0.99902344	0.99902344	0.99902344	0.9980469	0.99902344	0.99902344	0.99902344	0.99902344	0.9970703	0.9980469	0.9951172	0.9980469	0.99902344	0.99902344
EPI_ISL_591853	0.98535156	0.99902344	0.9794922	0.97753906	0.9746094	0.9951172	0.9941406	0.9921875	0.99609375	0.9951172	0.9951172	0.99609375	0.9980469	0.9970703	0.9921875	0.99316406	0.9970703	0.9980469	0.99902344	0.99902344	1	0.99609375	0.98535156	0.99316406	0.99902344	0.9902344	0.9941406	0.9863281	0.9970703	0.9951172	0.9892578	0.9902344	0.9980469	0.98535156	0.99609375	0.9951172	0.9970703	0.99902344	0.9482422	0.9970703	0.98339844	0.984375	0.99316406	0.9921875	0.9970703	0.9892578	0.9970703	0.9970703	0.98339844	0.99609375	0.9951172	0.98535156	0.98535156	0.9970703	0.99902344	0.99902344	0.99902344	0.9941406	0.99609375	0.9951172	0.9941406	0.99609375	0.9951172	0.99609375	0.9970703	0.99609375	0.9921875	0.9951172	0.984375	0.9921875	1	0.9980469	0.99902344	0.98046875	0.99902344	1	0.99902344	1	0.99902344	0.99902344	1	0.99902344	1	1	1	1	1	1	1	0.99902344	1	1	1	1	0.9980469	0.99902344	0.99609375	0.99902344	1	1
EPI_ISL_591854	0.98339844	0.9951172	0.97558594	0.97558594	0.97265625	0.99316406	0.9902344	0.9902344	0.9921875	0.99316406	0.99121094	1	0.99609375	0.9951172	0.9941406	0.9951172	0.99902344	0.99609375	0.9970703	0.9970703	0.99609375	1	0.9873047	0.9892578	0.9970703	0.9863281	0.9902344	0.98828125	0.99316406	0.99121094	0.98535156	0.9941406	0.99609375	0.9814453	1	0.99121094	0.99902344	0.9951172	0.94433594	0.99902344	0.98535156	0.9863281	0.9892578	0.9941406	0.99316406	0.99121094	0.99316406	0.99902344	0.98535156	0.9921875	0.99121094	0.9873047	0.9873047	0.9951172	0.9951172	0.9951172	0.9951172	0.9980469	0.9980469	0.9970703	0.99609375	0.9921875	0.99121094	0.9980469	0.99902344	0.9980469	0.9941406	0.9970703	0.9824219	0.9902344	0.99609375	0.99609375	0.9951172	0.9785156	0.9970703	0.99609375	0.9951172	0.99609375	0.9970703	0.9970703	0.99609375	0.9970703	0.99609375	0.99609375	0.99609375	0.99609375	0.99609375	0.99609375	0.99609375	0.9951172	0.99609375	0.99609375	0.99609375	0.99609375	0.9941406	0.9951172	0.9921875	0.9951172	0.99609375	0.99609375
EPI_ISL_591856	0.9707031	0.984375	0.96484375	0.9628906	0.95996094	0.98046875	0.9814453	0.97753906	0.9814453	0.98046875	0.98046875	0.9873047	0.98339844	0.9824219	0.98339844	0.984375	0.98828125	0.98339844	0.984375	0.984375	0.98535156	0.9873047	1	0.9785156	0.984375	0.9794922	0.9794922	0.9814453	0.9824219	0.98046875	0.9746094	0.9814453	0.98339844	0.9707031	0.9873047	0.98046875	0.98828125	0.984375	0.93359375	0.98828125	0.9746094	0.97558594	0.9785156	0.98339844	0.9824219	0.98046875	0.9824219	0.98828125	0.9746094	0.9814453	0.98046875	0.9765625	0.9765625	0.9824219	0.984375	0.984375	0.984375	0.98535156	0.9873047	0.9863281	0.98535156	0.9814453	0.98046875	0.9873047	0.98828125	0.9873047	0.98339844	0.9863281	0.96972656	0.97753906	0.98535156	0.98339844	0.984375	0.9658203	0.984375	0.98535156	0.984375	0.98535156	0.984375	0.984375	0.98535156	0.984375	0.98535156	0.98535156	0.98535156	0.98535156	0.98535156	0.98535156	0.98535156	0.984375	0.98535156	0.98535156	0.98535156	0.98535156	0.98339844	0.984375	0.9814453	0.984375	0.98535156	0.98535156
EPI_ISL_592019	0.9794922	0.9921875	0.9736328	0.97265625	0.96875	0.9902344	0.9873047	0.99121094	0.9892578	0.98828125	0.98828125	0.9892578	0.99121094	0.9902344	0.98535156	0.9902344	0.9902344	0.99121094	0.9921875	0.9921875	0.99316406	0.9892578	0.9785156	1	0.9921875	0.98535156	0.9873047	0.9814453	0.99609375	0.9921875	0.9921875	0.99121094	0.99121094	0.98046875	0.9892578	0.98828125	0.9902344	0.9941406	0.94433594	0.9902344	0.9785156	0.97753906	0.9863281	0.99121094	0.99609375	0.9863281	0.9921875	0.9902344	0.9765625	0.9892578	0.9921875	0.984375	0.9785156	0.9902344	0.9921875	0.9921875	0.9921875	0.9873047	0.9892578	0.98828125	0.9892578	0.99316406	0.98828125	0.9892578	0.9902344	0.9892578	0.9892578	0.98828125	0.97753906	0.98535156	0.99316406	0.99121094	0.9921875	0.9746094	0.9921875	0.99316406	0.9921875	0.99316406	0.9921875	0.9921875	0.99316406	0.9921875	0.99316406	0.99316406	0.99316406	0.99316406	0.99316406	0.99316406	0.99316406	0.9921875	0.99316406	0.99316406	0.99316406	0.99316406	0.99121094	0.9921875	0.9892578	0.9921875	0.99316406	0.99316406
EPI_ISL_592059	0.9863281	0.9980469	0.9785156	0.9785156	0.97558594	0.99609375	0.99316406	0.99316406	0.9951172	0.99609375	0.9941406	0.9970703	0.99902344	0.9980469	0.99121094	0.9921875	0.99609375	0.99902344	1	1	0.99902344	0.9970703	0.984375	0.9921875	1	0.9892578	0.99316406	0.98535156	0.99609375	0.9941406	0.98828125	0.99121094	0.99902344	0.984375	0.9970703	0.9941406	0.99609375	0.9980469	0.9472656	0.99609375	0.9824219	0.98339844	0.9921875	0.99121094	0.99609375	0.98828125	0.99609375	0.99609375	0.9824219	0.9951172	0.9941406	0.984375	0.984375	0.9980469	0.9980469	0.9980469	0.9980469	0.9951172	0.9951172	0.9941406	0.99316406	0.9951172	0.9941406	0.9951172	0.99609375	0.9951172	0.99121094	0.9941406	0.98535156	0.99316406	0.99902344	0.99902344	0.9980469	0.9814453	1	0.99902344	0.9980469	0.99902344	1	1	0.99902344	1	0.99902344	0.99902344	0.99902344	0.99902344	0.99902344	0.99902344	0.99902344	0.9980469	0.99902344	0.99902344	0.99902344	0.99902344	0.9970703	0.9980469	0.9951172	0.9980469	0.99902344	0.99902344
EPI_ISL_592064	0.97558594	0.9892578	0.96972656	0.96777344	0.96484375	0.98535156	0.99316406	0.9824219	0.9863281	0.98535156	0.98535156	0.9863281	0.98828125	0.9873047	0.9824219	0.98535156	0.9873047	0.98828125	0.9892578	0.9892578	0.9902344	0.9863281	0.9794922	0.98535156	0.9892578	1	0.9921875	0.9921875	0.9873047	0.9873047	0.9814453	0.9824219	0.98828125	0.97753906	0.9863281	0.98535156	0.9873047	0.99121094	0.94140625	0.9873047	0.97558594	0.9746094	0.98339844	0.9824219	0.9873047	0.9814453	0.9892578	0.9873047	0.9736328	0.9863281	0.9873047	0.97558594	0.97558594	0.9873047	0.9892578	0.9892578	0.9892578	0.984375	0.9863281	0.98535156	0.9863281	0.98828125	0.98535156	0.9863281	0.9873047	0.9863281	0.984375	0.98535156	0.9746094	0.9824219	0.9902344	0.98828125	0.9892578	0.9707031	0.9892578	0.9902344	0.9892578	0.9902344	0.9892578	0.9892578	0.9902344	0.9892578	0.9902344	0.9902344	0.9902344	0.9902344	0.9902344	0.9902344	0.9902344	0.9892578	0.9902344	0.9902344	0.9902344	0.9902344	0.98828125	0.9892578	0.9863281	0.9892578	0.9902344	0.9902344
EPI_ISL_592072	0.9794922	0.99316406	0.9736328	0.9716797	0.96875	0.9892578	0.9951172	0.9863281	0.9921875	0.9892578	0.9892578	0.9902344	0.9921875	0.99121094	0.9902344	0.9873047	0.99121094	0.9921875	0.99316406	0.99316406	0.9941406	0.9902344	0.9794922	0.9873047	0.99316406	0.9921875	1	0.9863281	0.99121094	0.9892578	0.9873047	0.984375	0.9921875	0.98339844	0.9902344	0.9892578	0.99121094	0.99316406	0.94628906	0.99121094	0.9814453	0.9824219	0.99121094	0.9863281	0.99121094	0.98339844	0.99121094	0.99121094	0.9814453	0.9902344	0.9892578	0.9794922	0.98339844	0.99316406	0.99316406	0.99316406	0.99316406	0.98828125	0.9902344	0.99316406	0.98828125	0.9902344	0.9892578	0.9902344	0.99121094	0.9902344	0.9863281	0.9892578	0.9785156	0.9863281	0.9941406	0.9921875	0.99316406	0.9746094	0.99316406	0.9941406	0.99316406	0.9941406	0.99316406	0.99316406	0.9941406	0.99316406	0.9941406	0.9941406	0.9941406	0.9941406	0.9941406	0.9941406	0.9941406	0.99316406	0.9941406	0.9941406	0.9941406	0.9941406	0.9921875	0.99316406	0.9902344	0.99316406	0.9941406	0.9941406
EPI_ISL_640508	0.9716797	0.98535156	0.9658203	0.9638672	0.96191406	0.9814453	0.9873047	0.9785156	0.9824219	0.9814453	0.9814453	0.98828125	0.984375	0.98339844	0.984375	0.9873047	0.9892578	0.984375	0.98535156	0.98535156	0.9863281	0.98828125	0.9814453	0.9814453	0.98535156	0.9921875	0.9863281	1	0.98339844	0.98339844	0.97753906	0.984375	0.984375	0.9736328	0.98828125	0.9814453	0.9892578	0.9873047	0.9355469	0.9892578	0.97753906	0.9765625	0.9794922	0.984375	0.98339844	0.98339844	0.98535156	0.9892578	0.97558594	0.9824219	0.98339844	0.97753906	0.97753906	0.98339844	0.98535156	0.98535156	0.98535156	0.9863281	0.98828125	0.9873047	0.98828125	0.984375	0.9814453	0.9902344	0.9892578	0.98828125	0.9863281	0.9873047	0.9707031	0.9785156	0.9863281	0.984375	0.98535156	0.9667969	0.98535156	0.9863281	0.98535156	0.9863281	0.98535156	0.98535156	0.9863281	0.98535156	0.9863281	0.9863281	0.9863281	0.9863281	0.9863281	0.9863281	0.9863281	0.98535156	0.9863281	0.9863281	0.9863281	0.9863281	0.984375	0.98535156	0.9824219	0.98535156	0.9863281	0.9863281
EPI_ISL_592205	0.9824219	0.99609375	0.9765625	0.9746094	0.9716797	0.9921875	0.99121094	0.9951172	0.99316406	0.9921875	0.9921875	0.99316406	0.9951172	0.9941406	0.9892578	0.9902344	0.9941406	0.9951172	0.99609375	0.99609375	0.9970703	0.99316406	0.9824219	0.99609375	0.99609375	0.9873047	0.99121094	0.98339844	1	0.9921875	0.9921875	0.99316406	0.9951172	0.9824219	0.99316406	0.9921875	0.9941406	0.99609375	0.9453125	0.9941406	0.98046875	0.9814453	0.9902344	0.9951172	1	0.9863281	0.9941406	0.9941406	0.98046875	0.99316406	0.9921875	0.98828125	0.9824219	0.9941406	0.99609375	0.99609375	0.99609375	0.99121094	0.99316406	0.9921875	0.99121094	0.99316406	0.9921875	0.99316406	0.9941406	0.99316406	0.9892578	0.9921875	0.9814453	0.9892578	0.9970703	0.9951172	0.99609375	0.97753906	0.99609375	0.9970703	0.99609375	0.9970703	0.99609375	0.99609375	0.9970703	0.99609375	0.9970703	0.9970703	0.9970703	0.9970703	0.9970703	0.9970703	0.9970703	0.99609375	0.9970703	0.9970703	0.9970703	0.9970703	0.9951172	0.99609375	0.99316406	0.99609375	0.9970703	0.9970703
EPI_ISL_563721	0.98046875	0.9941406	0.9746094	0.97265625	0.96972656	0.99609375	0.99121094	0.9892578	0.99316406	0.9941406	0.9902344	0.99121094	0.9951172	0.9941406	0.9873047	0.99609375	0.9921875	0.99316406	0.9941406	0.9941406	0.9951172	0.99121094	0.98046875	0.9921875	0.9941406	0.9873047	0.9892578	0.98339844	0.9921875	1	0.9941406	0.9873047	0.9951172	0.984375	0.99121094	0.9902344	0.9921875	0.99609375	0.95214844	0.9921875	0.9824219	0.9794922	0.9902344	0.9873047	0.9921875	0.9921875	0.9980469	0.9921875	0.9785156	0.99316406	1	0.98046875	0.98046875	0.9941406	0.99609375	0.99609375	0.99609375	0.9892578	0.99121094	0.9902344	0.99316406	0.99902344	0.9921875	0.99121094	0.9921875	0.99121094	0.9951172	0.9902344	0.9794922	0.9873047	0.9951172	0.99316406	0.9941406	0.97558594	0.9941406	0.9951172	0.9941406	0.9951172	0.9941406	0.9941406	0.9951172	0.9941406	0.9951172	0.9951172	0.9951172	0.9951172	0.9951172	0.9951172	0.9951172	0.99609375	0.9951172	0.9951172	0.9951172	0.9951172	0.99316406	0.9941406	0.99121094	0.99609375	0.9951172	0.9951172
EPI_ISL_592235	0.9746094	0.98828125	0.96875	0.9667969	0.9638672	0.9902344	0.98535156	0.9892578	0.9892578	0.98828125	0.984375	0.98535156	0.9892578	0.98828125	0.9873047	0.9902344	0.9863281	0.9873047	0.98828125	0.98828125	0.9892578	0.98535156	0.9746094	0.9921875	0.98828125	0.9814453	0.9873047	0.97753906	0.9921875	0.9941406	1	0.9873047	0.9892578	0.984375	0.98535156	0.984375	0.9863281	0.9902344	0.9482422	0.9863281	0.9824219	0.9794922	0.98828125	0.9873047	0.9921875	0.9863281	0.9921875	0.9863281	0.9785156	0.9873047	0.9941406	0.9824219	0.98046875	0.9902344	0.9902344	0.9902344	0.9902344	0.98339844	0.98535156	0.98828125	0.9873047	0.99316406	0.9863281	0.98535156	0.9863281	0.98535156	0.9892578	0.984375	0.9736328	0.9814453	0.9892578	0.9873047	0.98828125	0.96972656	0.98828125	0.9892578	0.98828125	0.9892578	0.98828125	0.98828125	0.9892578	0.98828125	0.9892578	0.9892578	0.9892578	0.9892578	0.9892578	0.9892578	0.9892578	0.9902344	0.9892578	0.9892578	0.9892578	0.9892578	0.9873047	0.98828125	0.98535156	0.9902344	0.9892578	0.9892578
